"Test University"
"anth10","Anthropology 10","Anthropology","Anthropology Test Curriculum","","",""
"anth12","Anthropology 12","Anthropology","Anthropology Test Curriculum","","",""
"anth35","Anthropology 35","Anthropology","Anthropology Test Curriculum","anth10","",""
"anth46","Anthropology 46","Anthropology","Anthropology Test Curriculum","","",""
"anth63","Anthropology 63","Anthropology","Anthropology Test Curriculum","anth10","anth46",""
"anth83","Anthropology 83","Anthropology","Anthropology Test Curriculum","anth12","anth63","anth35"
"anth85","Anthropology 85","Anthropology","Anthropology Test Curriculum","anth46","",""
"anth86","Anthropology 86","Anthropology","Anthropology Test Curriculum","anth85","anth35",""
"anth91","Anthropology 91","Anthropology","Anthropology Test Curriculum","anth35","anth85","anth10"
"anth97","Anthropology 97","Anthropology","Anthropology Test Curriculum","anth63","",""
"anth118","Anthropology 118","Anthropology","Anthropology Test Curriculum","anth46","anth86",""
"anth140","Anthropology 140","Anthropology","Anthropology Test Curriculum","anth63","anth35",""
"anth141","Anthropology 141","Anthropology","Anthropology Test Curriculum","anth91","anth118",""
"anth185","Anthropology 185","Anthropology","","anth85","anth97",""
"anth193","Anthropology 193","Anthropology","","anth91","anth35",""
"bio10","Biology 10","Biology","Biology Test Curriculum","","",""
"bio12","Biology 12","Biology","Biology Test Curriculum","bio10","",""
"bio20","Biology 20","Biology","Biology Test Curriculum","bio12","",""
"bio25","Biology 25","Biology","Biology Test Curriculum","bio10","bio12",""
"bio51","Biology 51","Biology","Biology Test Curriculum","bio25","",""
"bio62","Biology 62","Biology","Biology Test Curriculum","bio10","bio25",""
"bio86","Biology 86","Biology","Biology Test Curriculum","bio10","bio25","bio51"
"bio88","Biology 88","Biology","Biology Test Curriculum","bio51","",""
"bio91","Biology 91","Biology","Biology Test Curriculum","bio51","",""
"bio117","Biology 117","Biology","Biology Test Curriculum","bio20","bio12","bio86"
"bio134","Biology 134","Biology","Biology Test Curriculum","bio25","bio12","bio20"
"bio147","Biology 147","Biology","Biology Test Curriculum","bio51","bio62",""
"bio158","Biology 158","Biology","","bio117","bio10",""
"bio177","Biology 177","Biology","","bio51","bio10","bio62"
"cmps33","Computer Science 33","Computer Science","Computer Science Test Curriculum","","",""
"cmps45","Computer Science 45","Computer Science","Computer Science Test Curriculum","cmps33","",""
"cmps48","Computer Science 48","Computer Science","Computer Science Test Curriculum","cmps45","",""
"cmps51","Computer Science 51","Computer Science","Computer Science Test Curriculum","cmps48","",""
"cmps63","Computer Science 63","Computer Science","Computer Science Test Curriculum","cmps51","",""
"cmps66","Computer Science 66","Computer Science","Computer Science Test Curriculum","cmps48","cmps63",""
"cmps73","Computer Science 73","Computer Science","Computer Science Test Curriculum","cmps63","cmps45","cmps48"
"cmps135","Computer Science 135","Computer Science","Computer Science Test Curriculum","cmps45","cmps51","cmps33"
"cmps164","Computer Science 164","Computer Science","","cmps63","cmps51","cmps33"
"cmps171","Computer Science 171","Computer Science","","cmps45","",""
"cmps175","Computer Science 175","Computer Science","","cmps33","cmps164",""
"cmps176","Computer Science 176","Computer Science","","cmps45","",""
"cmps180","Computer Science 180","Computer Science","","cmps66","cmps48","cmps45"
"cmps185","Computer Science 185","Computer Science","","cmps135","cmps51",""
"econ20","Economics 20","Economics","Economics Test Curriculum","","",""
"econ27","Economics 27","Economics","Economics Test Curriculum","","",""
"econ31","Economics 31","Economics","Economics Test Curriculum","","",""
"econ41","Economics 41","Economics","Economics Test Curriculum","econ31","econ20","econ27"
"econ42","Economics 42","Economics","Economics Test Curriculum","econ41","econ20",""
"econ105","Economics 105","Economics","Economics Test Curriculum","econ41","",""
"econ123","Economics 123","Economics","Economics Test Curriculum","econ27","econ41",""
"econ124","Economics 124","Economics","Economics Test Curriculum","econ27","econ105",""
"econ125","Economics 125","Economics","Economics Test Curriculum","econ31","econ123","econ42"
"econ134","Economics 134","Economics","Economics Test Curriculum","econ105","econ31",""
"econ137","Economics 137","Economics","Economics Test Curriculum","econ20","econ125",""
"econ178","Economics 178","Economics","","econ124","econ27",""
"econ193","Economics 193","Economics","","econ123","econ27","econ20"
"econ194","Economics 194","Economics","","econ41","",""
"econ199","Economics 199","Economics","","econ41","econ193",""
"fem9","Feminist Studies 9","Feminist Studies","Feminist Studies Test Curriculum","","",""
"fem24","Feminist Studies 24","Feminist Studies","Feminist Studies Test Curriculum","fem9","",""
"fem25","Feminist Studies 25","Feminist Studies","Feminist Studies Test Curriculum","fem9","",""
"fem43","Feminist Studies 43","Feminist Studies","Feminist Studies Test Curriculum","fem24","",""
"fem54","Feminist Studies 54","Feminist Studies","Feminist Studies Test Curriculum","fem24","fem9",""
"fem55","Feminist Studies 55","Feminist Studies","Feminist Studies Test Curriculum","fem9","fem54","fem25"
"fem56","Feminist Studies 56","Feminist Studies","Feminist Studies Test Curriculum","fem55","",""
"fem57","Feminist Studies 57","Feminist Studies","Feminist Studies Test Curriculum","fem56","fem55",""
"fem68","Feminist Studies 68","Feminist Studies","Feminist Studies Test Curriculum","fem43","fem57","fem25"
"fem131","Feminist Studies 131","Feminist Studies","Feminist Studies Test Curriculum","fem54","",""
"fem169","Feminist Studies 169","Feminist Studies","","fem9","fem57",""
"fem181","Feminist Studies 181","Feminist Studies","","fem56","fem169","fem57"
"fem190","Feminist Studies 190","Feminist Studies","","fem24","fem57",""
"fem191","Feminist Studies 191","Feminist Studies","","fem55","fem190","fem9"
"fem197","Feminist Studies 197","Feminist Studies","","fem55","fem190","fem181"
"heb29","Hebrew 29","Hebrew","Hebrew Test Curriculum","","",""
"heb40","Hebrew 40","Hebrew","Hebrew Test Curriculum","heb29","",""
"heb55","Hebrew 55","Hebrew","Hebrew Test Curriculum","heb40","heb29",""
"heb60","Hebrew 60","Hebrew","Hebrew Test Curriculum","heb40","",""
"heb87","Hebrew 87","Hebrew","Hebrew Test Curriculum","heb60","heb55",""
"heb91","Hebrew 91","Hebrew","Hebrew Test Curriculum","heb29","heb40",""
"heb103","Hebrew 103","Hebrew","Hebrew Test Curriculum","heb60","heb55",""
"heb107","Hebrew 107","Hebrew","Hebrew Test Curriculum","heb29","heb103","heb40"
"heb124","Hebrew 124","Hebrew","Hebrew Test Curriculum","heb87","heb55",""
"heb125","Hebrew 125","Hebrew","Hebrew Test Curriculum","heb29","heb124","heb103"
"heb127","Hebrew 127","Hebrew","Hebrew Test Curriculum","heb124","",""
"heb149","Hebrew 149","Hebrew","Hebrew Test Curriculum","heb40","heb87",""
"heb165","Hebrew 165","Hebrew","","heb149","heb60",""
"heb195","Hebrew 195","Hebrew","","heb165","heb91",""
"ism20","Information System Management 20","Information System Management","Information System Management Test Curriculum","","",""
"ism27","Information System Management 27","Information System Management","Information System Management Test Curriculum","ism20","",""
"ism46","Information System Management 46","Information System Management","Information System Management Test Curriculum","ism20","ism27",""
"ism51","Information System Management 51","Information System Management","Information System Management Test Curriculum","ism20","",""
"ism56","Information System Management 56","Information System Management","Information System Management Test Curriculum","ism20","",""
"ism119","Information System Management 119","Information System Management","Information System Management Test Curriculum","ism56","",""
"ism124","Information System Management 124","Information System Management","Information System Management Test Curriculum","ism56","ism51","ism46"
"ism129","Information System Management 129","Information System Management","Information System Management Test Curriculum","ism119","ism124","ism27"
"ism135","Information System Management 135","Information System Management","Information System Management Test Curriculum","ism124","ism51","ism56"
"ism140","Information System Management 140","Information System Management","Information System Management Test Curriculum","ism129","ism51","ism135"
"ism164","Information System Management 164","Information System Management","","ism129","ism56","ism51"
"ism172","Information System Management 172","Information System Management","","ism124","ism135","ism56"
"ism184","Information System Management 184","Information System Management","","ism51","ism129","ism140"
"ism193","Information System Management 193","Information System Management","","ism184","ism20",""
"ism197","Information System Management 197","Information System Management","","ism164","",""
"jap9","Japanese 9","Japanese","Japanese Test Curriculum","","",""
"jap21","Japanese 21","Japanese","Japanese Test Curriculum","","",""
"jap33","Japanese 33","Japanese","Japanese Test Curriculum","jap9","jap21",""
"jap35","Japanese 35","Japanese","Japanese Test Curriculum","jap9","jap21",""
"jap42","Japanese 42","Japanese","Japanese Test Curriculum","jap9","",""
"jap48","Japanese 48","Japanese","Japanese Test Curriculum","jap42","jap33",""
"jap58","Japanese 58","Japanese","Japanese Test Curriculum","jap33","jap35",""
"jap73","Japanese 73","Japanese","Japanese Test Curriculum","jap33","jap48",""
"jap88","Japanese 88","Japanese","Japanese Test Curriculum","jap9","jap58",""
"jap94","Japanese 94","Japanese","Japanese Test Curriculum","jap9","jap35","jap48"
"jap123","Japanese 123","Japanese","Japanese Test Curriculum","jap21","jap48",""
"jap134","Japanese 134","Japanese","Japanese Test Curriculum","jap9","jap94",""
"jap135","Japanese 135","Japanese","Japanese Test Curriculum","jap21","jap48","jap33"
"jap151","Japanese 151","Japanese","","jap21","jap135","jap35"
"jap195","Japanese 195","Japanese","","jap58","jap73",""
"kre22","Kresge 22","Kresge","Kresge Test Curriculum","","",""
"kre30","Kresge 30","Kresge","Kresge Test Curriculum","kre22","",""
"kre70","Kresge 70","Kresge","Kresge Test Curriculum","kre30","kre22",""
"kre99","Kresge 99","Kresge","Kresge Test Curriculum","kre30","kre22",""
"kre102","Kresge 102","Kresge","Kresge Test Curriculum","kre22","kre30","kre70"
"kre103","Kresge 103","Kresge","Kresge Test Curriculum","kre102","kre30","kre99"
